trial_index,arrow,sound_onset_psy,sound_onset_dev,arrow_onset_psy,arrow_onset_dev,response_key,rt_psy,rt_dev
1,none,218.82738410006277,6734.4504637,,,NaN,NaN,NaN
2,right,220.30929860007018,6735.951991100001,220.30929860007018,6735.951991100001,False,NaN,NaN
3,none,221.80919880000874,6737.4496091,,,NaN,NaN,NaN
4,right,223.31064509996213,6738.9506182000005,223.31064509996213,6738.9506182000005,red,0.7482616000343114,0.757391799999823
5,none,224.81188619998284,6740.451153700001,,,NaN,0.8733890999574214,0.885495899999114
6,left,226.31362839997746,6741.9515959,226.31362839997746,6741.9515959,False,0.3289969000034034,0.3423704999995607
7,none,227.81526489998214,6743.4523097,,,NaN,0.8311851001344621,0.8454415999995035
8,left,229.31644419999793,6744.9526021,229.31644419999793,6744.9526021,NaN,NaN,NaN
9,left,230.81802799995057,6746.4591791,230.81802799995057,6746.4591791,NaN,NaN,NaN
10,none,232.31994660012424,6747.953379500001,,,NaN,NaN,NaN
11,right,233.82137250015512,6749.4540955,233.82137250015512,6749.4540955,False,NaN,NaN
12,left,235.3234832000453,6750.954546200001,235.3234832000453,6750.954546200001,NaN,NaN,NaN
13,none,236.8402686000336,6752.4804810000005,,,NaN,NaN,NaN
14,left,238.30839990009554,6753.9563451,238.30839990009554,6753.9563451,NaN,NaN,NaN
15,none,239.81034409999847,6755.4561013,,,NaN,NaN,NaN
16,right,241.31188310007565,6756.9575353,241.31188310007565,6756.9575353,False,NaN,NaN
17,none,242.81319590006024,6758.4577908,,,NaN,NaN,NaN
18,none,244.3148891001474,6759.958173800001,,,NaN,NaN,NaN
